127.0.0.1 - - [27/Jul/2022:14:24:07 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Jul/2022:14:24:08 +0900] "GET /mainpage/ HTTP/1.1" 200 8897
0:0:0:0:0:0:0:1 - - [27/Jul/2022:14:24:08 +0900] "GET /mainpage/resources/img/title.png HTTP/1.1" 200 384222
0:0:0:0:0:0:0:1 - - [27/Jul/2022:14:24:08 +0900] "GET /mainpage/resources/img/icon.png HTTP/1.1" 200 47335
0:0:0:0:0:0:0:1 - - [27/Jul/2022:14:24:08 +0900] "GET /mainpage/resources/img/product/KakaoTalk_20220708_091230921.png HTTP/1.1" 200 720993
0:0:0:0:0:0:0:1 - - [27/Jul/2022:14:24:08 +0900] "GET /mainpage/resources/img/product/KakaoTalk_20220708_091233245.png HTTP/1.1" 200 733747
0:0:0:0:0:0:0:1 - - [27/Jul/2022:14:24:08 +0900] "GET /mainpage/resources/img/product/KakaoTalk_20220708_091232050.png HTTP/1.1" 200 287117
0:0:0:0:0:0:0:1 - - [27/Jul/2022:14:24:08 +0900] "GET /mainpage/resources/css/header.css HTTP/1.1" 200 2115
0:0:0:0:0:0:0:1 - - [27/Jul/2022:14:24:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jul/2022:14:26:04 +0900] "GET /mainpage/allproduct.pr HTTP/1.1" 200 18326
0:0:0:0:0:0:0:1 - - [27/Jul/2022:14:26:04 +0900] "GET /mainpage/resources/img/product/all_product_thumbnailtitle.png HTTP/1.1" 200 195509
0:0:0:0:0:0:0:1 - - [27/Jul/2022:14:26:04 +0900] "GET /mainpage/resources/product_upfiles/Dakchigo_20220708092934_76775.png HTTP/1.1" 200 287117
0:0:0:0:0:0:0:1 - - [27/Jul/2022:14:26:04 +0900] "GET /mainpage/resources/product_upfiles/Dakchigo_20220708092734_49797.png HTTP/1.1" 200 733747
0:0:0:0:0:0:0:1 - - [27/Jul/2022:14:26:04 +0900] "GET /mainpage/resources/product_upfiles/Dakchigo_20220708092835_51583.png HTTP/1.1" 200 720993
0:0:0:0:0:0:0:1 - - [27/Jul/2022:14:26:04 +0900] "GET /mainpage/resources/css/productList.css HTTP/1.1" 200 2313
0:0:0:0:0:0:0:1 - - [27/Jul/2022:14:26:04 +0900] "GET /mainpage/resources/product_upfiles/Dakchigo_20220708092559_73705.png HTTP/1.1" 200 596406
0:0:0:0:0:0:0:1 - - [27/Jul/2022:14:26:04 +0900] "GET /mainpage/resources/product_upfiles/Dakchigo_20220708092528_78252.png HTTP/1.1" 200 167361
0:0:0:0:0:0:0:1 - - [27/Jul/2022:14:26:04 +0900] "GET /mainpage/resources/product_upfiles/Dakchigo_20220708092452_20691.png HTTP/1.1" 200 501922
0:0:0:0:0:0:0:1 - - [27/Jul/2022:14:26:04 +0900] "GET /mainpage/resources/product_upfiles/Dakchigo_20220708092416_64361.png HTTP/1.1" 200 226160
0:0:0:0:0:0:0:1 - - [27/Jul/2022:14:26:04 +0900] "GET /mainpage/resources/product_upfiles/Dakchigo_20220708092347_82727.png HTTP/1.1" 200 663393
0:0:0:0:0:0:0:1 - - [27/Jul/2022:14:26:04 +0900] "GET /mainpage/resources/product_upfiles/Dakchigo_20220708092308_95691.png HTTP/1.1" 200 177095
0:0:0:0:0:0:0:1 - - [27/Jul/2022:14:26:04 +0900] "GET /mainpage/resources/product_upfiles/Dakchigo_20220708092218_59809.png HTTP/1.1" 200 357079
0:0:0:0:0:0:0:1 - - [27/Jul/2022:14:26:04 +0900] "GET /mainpage/resources/product_upfiles/Dakchigo_20220708092128_84705.png HTTP/1.1" 200 231810
0:0:0:0:0:0:0:1 - - [27/Jul/2022:14:26:09 +0900] "GET /mainpage HTTP/1.1" 302 -
