127.0.0.1 - - [15/Sep/2022:17:34:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Sep/2022:17:36:03 +0900] "GET /mainpage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Sep/2022:17:36:03 +0900] "GET /mainpage/ HTTP/1.1" 200 9162
0:0:0:0:0:0:0:1 - - [15/Sep/2022:17:36:03 +0900] "GET /mainpage/resources/css/header.css HTTP/1.1" 200 2235
0:0:0:0:0:0:0:1 - - [15/Sep/2022:17:36:03 +0900] "GET /mainpage/resources/img/icon.png HTTP/1.1" 200 47335
0:0:0:0:0:0:0:1 - - [15/Sep/2022:17:36:03 +0900] "GET /mainpage/resources/img/product/KakaoTalk_20220708_091233245.png HTTP/1.1" 200 733747
0:0:0:0:0:0:0:1 - - [15/Sep/2022:17:36:03 +0900] "GET /mainpage/resources/img/product/KakaoTalk_20220708_091230921.png HTTP/1.1" 200 720993
0:0:0:0:0:0:0:1 - - [15/Sep/2022:17:36:03 +0900] "GET /mainpage/resources/img/title.png HTTP/1.1" 200 384222
0:0:0:0:0:0:0:1 - - [15/Sep/2022:17:36:03 +0900] "GET /mainpage/resources/img/product/KakaoTalk_20220708_091232050.png HTTP/1.1" 200 287117
0:0:0:0:0:0:0:1 - - [15/Sep/2022:17:36:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Sep/2022:17:36:10 +0900] "GET /mainpage/list.ev HTTP/1.1" 500 1305
0:0:0:0:0:0:0:1 - - [15/Sep/2022:17:36:10 +0900] "GET /mainpage/list.bo?cpage=1 HTTP/1.1" 500 1304
0:0:0:0:0:0:0:1 - - [15/Sep/2022:17:36:18 +0900] "GET /mainpage/center.ce?cpage=1 HTTP/1.1" 500 1327
0:0:0:0:0:0:0:1 - - [15/Sep/2022:17:36:28 +0900] "GET /mainpage/loginform.me HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [15/Sep/2022:17:36:28 +0900] "GET /mainpage/resources/css/default.css HTTP/1.1" 200 3886
0:0:0:0:0:0:0:1 - - [15/Sep/2022:17:36:28 +0900] "GET /mainpage/resources/css/style.css HTTP/1.1" 200 2430
0:0:0:0:0:0:0:1 - - [15/Sep/2022:17:36:28 +0900] "GET /mainpage/resources/img/kakaotalk.png HTTP/1.1" 200 15594
0:0:0:0:0:0:0:1 - - [15/Sep/2022:17:36:28 +0900] "GET /mainpage/resources/img/google.png HTTP/1.1" 200 36356
0:0:0:0:0:0:0:1 - - [15/Sep/2022:17:36:28 +0900] "GET /mainpage/resources/img/naver.png HTTP/1.1" 200 7010
0:0:0:0:0:0:0:1 - - [15/Sep/2022:17:36:36 +0900] "POST /mainpage/login.me HTTP/1.1" 500 1370
